parents,has_nurs,form,children,housing,social,health,target,finance
great_pret,less_proper,incomplete,more,less_conv,slightly_prob,recommended,priority,1
usual,critical,foster,more,less_conv,nonprob,not_recom,not_recom,1
pretentious,critical,completed,1,less_conv,problematic,not_recom,not_recom,0
pretentious,proper,completed,more,convenient,slightly_prob,recommended,very_recom,1
usual,proper,incomplete,3,less_conv,nonprob,recommended,priority,1
usual,critical,foster,3,convenient,slightly_prob,recommended,priority,0
pretentious,less_proper,foster,3,less_conv,slightly_prob,not_recom,not_recom,1
great_pret,critical,foster,3,critical,nonprob,recommended,spec_prior,1
usual,very_crit,incomplete,2,less_conv,problematic,priority,spec_prior,0
usual,critical,completed,2,critical,nonprob,priority,spec_prior,1
great_pret,proper,complete,1,less_conv,slightly_prob,priority,priority,1
great_pret,less_proper,foster,more,critical,problematic,priority,spec_prior,0
usual,less_proper,completed,1,convenient,slightly_prob,recommended,very_recom,1
pretentious,very_crit,foster,3,less_conv,problematic,recommended,spec_prior,1
great_pret,less_proper,completed,2,critical,slightly_prob,priority,spec_prior,0
great_pret,proper,foster,2,less_conv,problematic,recommended,spec_prior,0
usual,improper,incomplete,more,critical,problematic,not_recom,not_recom,1
pretentious,proper,complete,3,critical,problematic,not_recom,not_recom,1
pretentious,very_crit,foster,more,less_conv,problematic,priority,spec_prior,0
pretentious,improper,incomplete,3,convenient,problematic,not_recom,not_recom,0
pretentious,proper,completed,more,critical,nonprob,not_recom,not_recom,1
pretentious,less_proper,incomplete,more,critical,problematic,priority,priority,1
great_pret,improper,incomplete,2,convenient,nonprob,recommended,spec_prior,0
usual,improper,incomplete,3,critical,nonprob,priority,priority,0
usual,very_crit,completed,2,convenient,problematic,priority,spec_prior,0
great_pret,improper,completed,3,critical,slightly_prob,not_recom,not_recom,1
pretentious,improper,incomplete,more,critical,nonprob,priority,spec_prior,0
usual,less_proper,foster,more,convenient,nonprob,priority,priority,1
usual,improper,incomplete,1,less_conv,problematic,recommended,priority,0
pretentious,critical,incomplete,1,less_conv,problematic,not_recom,not_recom,1
great_pret,proper,foster,more,convenient,problematic,recommended,spec_prior,0
great_pret,less_proper,foster,more,convenient,problematic,priority,spec_prior,0
pretentious,proper,incomplete,2,convenient,problematic,priority,priority,1
great_pret,very_crit,completed,3,critical,problematic,recommended,spec_prior,1
great_pret,less_proper,incomplete,more,less_conv,problematic,priority,spec_prior,1
great_pret,improper,incomplete,more,convenient,problematic,priority,spec_prior,1
usual,critical,incomplete,more,convenient,problematic,recommended,spec_prior,0
pretentious,improper,foster,1,less_conv,problematic,not_recom,not_recom,0
great_pret,less_proper,foster,more,less_conv,problematic,recommended,spec_prior,0
pretentious,very_crit,incomplete,1,convenient,problematic,recommended,spec_prior,1
usual,less_proper,incomplete,1,less_conv,nonprob,not_recom,not_recom,1
great_pret,less_proper,completed,2,convenient,nonprob,recommended,priority,0
usual,proper,complete,2,less_conv,problematic,not_recom,not_recom,0
usual,less_proper,incomplete,1,less_conv,nonprob,recommended,very_recom,1
great_pret,critical,complete,3,less_conv,nonprob,not_recom,not_recom,0
pretentious,less_proper,incomplete,1,less_conv,slightly_prob,not_recom,not_recom,0
usual,very_crit,complete,1,critical,problematic,not_recom,not_recom,0
great_pret,critical,incomplete,3,critical,nonprob,priority,spec_prior,0
pretentious,less_proper,incomplete,more,critical,nonprob,recommended,priority,1
usual,very_crit,foster,3,critical,nonprob,recommended,spec_prior,1
usual,less_proper,foster,2,critical,problematic,not_recom,not_recom,0
usual,critical,foster,more,convenient,slightly_prob,not_recom,not_recom,0
great_pret,proper,complete,3,less_conv,nonprob,not_recom,not_recom,0
great_pret,less_proper,foster,1,critical,nonprob,not_recom,not_recom,1
usual,critical,incomplete,2,critical,problematic,recommended,spec_prior,0
great_pret,less_proper,incomplete,2,critical,problematic,recommended,spec_prior,0
usual,proper,complete,1,critical,slightly_prob,priority,priority,1
usual,very_crit,complete,more,critical,nonprob,priority,spec_prior,1
pretentious,critical,incomplete,2,critical,problematic,recommended,spec_prior,0
pretentious,proper,incomplete,2,convenient,problematic,recommended,priority,1
pretentious,less_proper,complete,more,less_conv,slightly_prob,recommended,priority,1
usual,less_proper,incomplete,1,convenient,nonprob,recommended,very_recom,0
usual,proper,completed,3,less_conv,problematic,not_recom,not_recom,0
great_pret,improper,incomplete,2,convenient,slightly_prob,not_recom,not_recom,1
usual,less_proper,completed,3,convenient,slightly_prob,priority,priority,0
usual,proper,completed,2,less_conv,slightly_prob,recommended,very_recom,1
great_pret,improper,complete,3,critical,nonprob,priority,spec_prior,0
great_pret,proper,incomplete,1,convenient,problematic,not_recom,not_recom,0
pretentious,proper,completed,2,critical,problematic,recommended,priority,0
usual,less_proper,incomplete,more,critical,problematic,recommended,priority,0
usual,critical,incomplete,more,critical,problematic,not_recom,not_recom,0
great_pret,proper,incomplete,2,critical,nonprob,priority,spec_prior,1
great_pret,proper,completed,more,less_conv,problematic,priority,spec_prior,0
pretentious,proper,complete,more,convenient,problematic,recommended,priority,1
great_pret,critical,incomplete,1,less_conv,nonprob,priority,spec_prior,1
great_pret,less_proper,incomplete,1,less_conv,problematic,priority,priority,1
usual,proper,foster,1,critical,slightly_prob,recommended,priority,0
usual,less_proper,completed,3,less_conv,nonprob,not_recom,not_recom,0
pretentious,proper,completed,3,critical,nonprob,not_recom,not_recom,0
usual,less_proper,completed,3,critical,problematic,priority,priority,0
usual,less_proper,foster,2,critical,slightly_prob,not_recom,not_recom,0
great_pret,critical,completed,1,critical,problematic,priority,spec_prior,0
great_pret,very_crit,complete,2,critical,problematic,not_recom,not_recom,1
usual,critical,completed,2,critical,problematic,not_recom,not_recom,0
usual,very_crit,foster,2,critical,slightly_prob,recommended,spec_prior,0
usual,less_proper,foster,3,critical,problematic,recommended,priority,1
great_pret,critical,foster,more,convenient,nonprob,recommended,spec_prior,0
pretentious,critical,complete,more,critical,problematic,recommended,spec_prior,1
great_pret,critical,complete,more,less_conv,problematic,recommended,spec_prior,1
usual,critical,incomplete,1,less_conv,nonprob,priority,priority,0
great_pret,proper,complete,1,convenient,nonprob,not_recom,not_recom,1
great_pret,improper,completed,3,convenient,problematic,priority,spec_prior,0
usual,less_proper,completed,2,convenient,nonprob,priority,priority,1
great_pret,critical,complete,2,convenient,problematic,recommended,spec_prior,0
usual,less_proper,incomplete,2,convenient,nonprob,recommended,very_recom,1
great_pret,less_proper,incomplete,1,less_conv,slightly_prob,not_recom,not_recom,0
great_pret,proper,completed,1,less_conv,problematic,not_recom,not_recom,0
usual,critical,incomplete,more,less_conv,nonprob,not_recom,not_recom,0
usual,critical,completed,3,less_conv,nonprob,priority,spec_prior,1
usual,very_crit,completed,3,less_conv,nonprob,not_recom,not_recom,0
usual,very_crit,completed,more,critical,problematic,not_recom,not_recom,1
great_pret,improper,incomplete,2,convenient,slightly_prob,priority,spec_prior,0
usual,improper,foster,2,convenient,slightly_prob,recommended,very_recom,1
usual,critical,foster,3,critical,problematic,priority,spec_prior,0
pretentious,critical,incomplete,more,critical,nonprob,not_recom,not_recom,1
usual,critical,incomplete,3,critical,slightly_prob,priority,spec_prior,1
pretentious,proper,foster,1,less_conv,nonprob,priority,priority,1
great_pret,improper,incomplete,more,convenient,problematic,priority,spec_prior,0
pretentious,improper,incomplete,more,convenient,problematic,not_recom,not_recom,0
usual,less_proper,completed,2,convenient,problematic,priority,priority,0
usual,improper,complete,3,critical,slightly_prob,priority,priority,1
pretentious,critical,complete,3,critical,problematic,not_recom,not_recom,1
great_pret,less_proper,complete,3,less_conv,problematic,recommended,spec_prior,1
pretentious,improper,complete,3,less_conv,nonprob,recommended,priority,0
usual,very_crit,complete,1,less_conv,slightly_prob,priority,spec_prior,1
great_pret,very_crit,completed,2,critical,slightly_prob,not_recom,not_recom,1
pretentious,proper,completed,3,convenient,problematic,not_recom,not_recom,1
great_pret,very_crit,foster,3,convenient,nonprob,not_recom,not_recom,0
pretentious,very_crit,completed,2,convenient,slightly_prob,not_recom,not_recom,1
pretentious,proper,incomplete,3,critical,nonprob,recommended,priority,1
pretentious,improper,complete,1,critical,problematic,not_recom,not_recom,1
pretentious,critical,completed,more,critical,slightly_prob,priority,spec_prior,1
usual,improper,complete,1,convenient,slightly_prob,recommended,very_recom,1
usual,improper,incomplete,more,less_conv,slightly_prob,not_recom,not_recom,1
great_pret,improper,complete,more,convenient,problematic,priority,spec_prior,1
pretentious,improper,incomplete,3,less_conv,nonprob,recommended,priority,0
usual,very_crit,incomplete,more,convenient,slightly_prob,priority,spec_prior,0
usual,proper,incomplete,3,less_conv,slightly_prob,recommended,priority,1
pretentious,critical,completed,2,critical,slightly_prob,priority,spec_prior,0
pretentious,very_crit,complete,3,convenient,slightly_prob,not_recom,not_recom,1
great_pret,improper,incomplete,3,critical,slightly_prob,priority,spec_prior,0
great_pret,less_proper,incomplete,more,critical,problematic,recommended,spec_prior,1
great_pret,critical,completed,more,less_conv,nonprob,recommended,spec_prior,0
great_pret,improper,incomplete,1,less_conv,problematic,not_recom,not_recom,1
great_pret,proper,complete,2,critical,nonprob,priority,spec_prior,1
great_pret,very_crit,incomplete,3,critical,slightly_prob,priority,spec_prior,0
usual,very_crit,incomplete,1,less_conv,nonprob,recommended,priority,0
great_pret,proper,complete,3,less_conv,nonprob,recommended,priority,1
usual,critical,incomplete,1,critical,slightly_prob,recommended,priority,1
great_pret,very_crit,complete,more,critical,slightly_prob,priority,spec_prior,1
great_pret,critical,foster,1,convenient,problematic,recommended,spec_prior,1
usual,less_proper,incomplete,1,convenient,problematic,recommended,priority,1
great_pret,improper,foster,3,convenient,nonprob,recommended,priority,1
usual,critical,complete,1,less_conv,slightly_prob,not_recom,not_recom,1
pretentious,critical,completed,3,critical,slightly_prob,recommended,spec_prior,1
great_pret,very_crit,foster,more,critical,slightly_prob,priority,spec_prior,0
great_pret,very_crit,incomplete,3,less_conv,problematic,priority,spec_prior,1
usual,critical,incomplete,2,less_conv,problematic,priority,spec_prior,0
great_pret,less_proper,complete,3,less_conv,slightly_prob,priority,spec_prior,0
great_pret,proper,incomplete,2,less_conv,nonprob,priority,spec_prior,1
pretentious,very_crit,foster,2,less_conv,problematic,priority,spec_prior,0
usual,critical,incomplete,2,critical,nonprob,not_recom,not_recom,0
usual,very_crit,foster,1,critical,slightly_prob,not_recom,not_recom,0
pretentious,critical,incomplete,3,convenient,nonprob,not_recom,not_recom,1
great_pret,proper,completed,more,convenient,slightly_prob,priority,priority,1
great_pret,very_crit,completed,1,less_conv,slightly_prob,recommended,priority,0
pretentious,proper,completed,3,less_conv,nonprob,not_recom,not_recom,1
pretentious,less_proper,completed,more,critical,problematic,recommended,priority,0
great_pret,very_crit,incomplete,2,critical,slightly_prob,recommended,spec_prior,1
usual,critical,complete,1,less_conv,slightly_prob,recommended,priority,1
great_pret,very_crit,foster,1,convenient,problematic,not_recom,not_recom,0
pretentious,critical,incomplete,3,less_conv,nonprob,recommended,spec_prior,0
pretentious,improper,completed,2,critical,nonprob,priority,spec_prior,1
usual,very_crit,completed,more,critical,nonprob,not_recom,not_recom,0
pretentious,proper,complete,more,convenient,nonprob,recommended,priority,0
great_pret,very_crit,foster,more,less_conv,slightly_prob,priority,spec_prior,1
usual,very_crit,incomplete,more,less_conv,problematic,priority,spec_prior,0
great_pret,proper,incomplete,3,less_conv,slightly_prob,recommended,priority,1
pretentious,less_proper,completed,2,convenient,nonprob,priority,priority,0
usual,very_crit,completed,1,critical,problematic,priority,spec_prior,0
pretentious,proper,complete,2,convenient,nonprob,priority,priority,1
pretentious,proper,incomplete,more,critical,problematic,priority,priority,0
usual,proper,incomplete,1,critical,slightly_prob,priority,priority,0
pretentious,critical,completed,more,less_conv,slightly_prob,recommended,spec_prior,1
pretentious,less_proper,incomplete,more,critical,slightly_prob,priority,priority,1
usual,very_crit,incomplete,2,critical,problematic,recommended,spec_prior,1
usual,proper,completed,more,critical,problematic,not_recom,not_recom,1
usual,less_proper,foster,3,critical,nonprob,not_recom,not_recom,0
great_pret,critical,completed,3,convenient,nonprob,recommended,spec_prior,0
usual,improper,foster,3,convenient,slightly_prob,priority,priority,0
pretentious,critical,complete,more,less_conv,problematic,priority,spec_prior,0
usual,critical,complete,3,convenient,problematic,priority,spec_prior,0
great_pret,less_proper,complete,more,less_conv,slightly_prob,priority,spec_prior,0
usual,very_crit,completed,more,less_conv,problematic,recommended,spec_prior,0
usual,less_proper,completed,2,critical,slightly_prob,priority,priority,1
pretentious,proper,foster,3,critical,slightly_prob,not_recom,not_recom,1
usual,improper,foster,more,less_conv,slightly_prob,priority,priority,1
usual,critical,complete,2,less_conv,problematic,not_recom,not_recom,1
pretentious,improper,foster,1,less_conv,problematic,recommended,spec_prior,1
great_pret,very_crit,foster,more,convenient,problematic,recommended,spec_prior,1
usual,proper,incomplete,more,critical,problematic,recommended,priority,1
usual,improper,completed,3,convenient,nonprob,not_recom,not_recom,1
great_pret,critical,incomplete,1,critical,nonprob,recommended,spec_prior,0
pretentious,critical,completed,3,convenient,slightly_prob,recommended,spec_prior,0
great_pret,improper,foster,2,convenient,problematic,recommended,spec_prior,0
pretentious,less_proper,foster,2,critical,nonprob,priority,priority,1
usual,proper,incomplete,2,critical,problematic,recommended,priority,0
usual,less_proper,complete,1,critical,nonprob,not_recom,not_recom,0
usual,less_proper,completed,more,less_conv,problematic,recommended,priority,1
great_pret,less_proper,completed,more,critical,problematic,not_recom,not_recom,1
great_pret,improper,complete,3,convenient,slightly_prob,recommended,priority,1
great_pret,improper,incomplete,3,convenient,slightly_prob,recommended,priority,1
great_pret,critical,foster,2,convenient,slightly_prob,recommended,priority,1
usual,improper,incomplete,more,convenient,problematic,priority,priority,1
usual,proper,completed,2,critical,problematic,recommended,priority,1
pretentious,improper,incomplete,3,convenient,nonprob,not_recom,not_recom,1
usual,critical,completed,more,critical,slightly_prob,recommended,priority,1
pretentious,very_crit,incomplete,2,critical,nonprob,priority,spec_prior,0
pretentious,improper,complete,3,less_conv,problematic,priority,spec_prior,1
pretentious,very_crit,complete,more,less_conv,nonprob,not_recom,not_recom,1
usual,improper,incomplete,3,convenient,slightly_prob,not_recom,not_recom,1
great_pret,improper,incomplete,more,critical,problematic,recommended,spec_prior,0
pretentious,critical,completed,more,critical,problematic,not_recom,not_recom,1
great_pret,improper,foster,more,less_conv,nonprob,not_recom,not_recom,0
pretentious,very_crit,complete,2,critical,nonprob,priority,spec_prior,1
pretentious,less_proper,incomplete,1,less_conv,problematic,not_recom,not_recom,1
pretentious,improper,incomplete,3,convenient,nonprob,priority,spec_prior,0
usual,proper,foster,3,convenient,problematic,priority,priority,1
great_pret,improper,incomplete,more,convenient,slightly_prob,recommended,priority,1
usual,improper,completed,2,less_conv,nonprob,priority,priority,1
usual,proper,completed,3,critical,nonprob,recommended,priority,1
great_pret,improper,foster,more,less_conv,slightly_prob,priority,spec_prior,1
pretentious,critical,foster,3,less_conv,slightly_prob,priority,spec_prior,1
great_pret,less_proper,complete,more,less_conv,nonprob,recommended,priority,0
usual,improper,incomplete,more,less_conv,slightly_prob,priority,priority,0
pretentious,very_crit,foster,1,convenient,nonprob,recommended,priority,1
pretentious,proper,foster,more,convenient,problematic,recommended,priority,1
usual,very_crit,completed,2,convenient,nonprob,priority,spec_prior,0
pretentious,proper,completed,1,less_conv,nonprob,not_recom,not_recom,0
great_pret,very_crit,incomplete,1,less_conv,nonprob,recommended,priority,0
usual,improper,complete,2,critical,slightly_prob,priority,priority,1
usual,proper,completed,3,convenient,nonprob,not_recom,not_recom,1
great_pret,less_proper,complete,3,less_conv,nonprob,recommended,priority,1
pretentious,proper,completed,1,less_conv,nonprob,priority,priority,0
great_pret,proper,foster,3,less_conv,slightly_prob,priority,spec_prior,0
great_pret,proper,complete,1,critical,slightly_prob,recommended,priority,1
great_pret,improper,foster,2,convenient,nonprob,recommended,priority,1
pretentious,improper,completed,1,convenient,problematic,not_recom,not_recom,1
pretentious,very_crit,completed,3,less_conv,problematic,not_recom,not_recom,0
pretentious,proper,foster,2,convenient,slightly_prob,not_recom,not_recom,1
great_pret,less_proper,complete,more,convenient,slightly_prob,recommended,priority,0
pretentious,proper,foster,2,less_conv,problematic,recommended,priority,1
great_pret,critical,completed,more,less_conv,problematic,priority,spec_prior,0
pretentious,critical,foster,1,critical,nonprob,recommended,spec_prior,0
pretentious,improper,foster,3,less_conv,problematic,recommended,spec_prior,0
usual,proper,complete,1,convenient,problematic,priority,priority,1
great_pret,less_proper,incomplete,1,convenient,slightly_prob,recommended,priority,0
pretentious,very_crit,complete,2,critical,slightly_prob,recommended,spec_prior,0
pretentious,critical,foster,3,less_conv,problematic,not_recom,not_recom,1
pretentious,very_crit,completed,more,convenient,slightly_prob,recommended,priority,1
great_pret,improper,foster,1,less_conv,problematic,priority,spec_prior,0
great_pret,less_proper,incomplete,1,convenient,slightly_prob,priority,priority,0
pretentious,very_crit,completed,2,convenient,slightly_prob,priority,spec_prior,0
great_pret,proper,foster,3,less_conv,slightly_prob,recommended,priority,0
usual,critical,foster,1,critical,problematic,not_recom,not_recom,0
pretentious,improper,incomplete,2,convenient,nonprob,priority,spec_prior,0
pretentious,improper,complete,3,critical,slightly_prob,not_recom,not_recom,1
great_pret,improper,incomplete,3,less_conv,slightly_prob,priority,spec_prior,0
great_pret,proper,foster,2,convenient,nonprob,not_recom,not_recom,1
usual,improper,foster,2,convenient,slightly_prob,not_recom,not_recom,0
pretentious,very_crit,complete,1,critical,problematic,recommended,spec_prior,0
great_pret,proper,completed,1,convenient,nonprob,not_recom,not_recom,1
pretentious,proper,incomplete,more,convenient,slightly_prob,priority,priority,1
great_pret,improper,incomplete,3,convenient,nonprob,not_recom,not_recom,1
great_pret,less_proper,foster,3,critical,nonprob,not_recom,not_recom,0
usual,improper,foster,3,less_conv,problematic,not_recom,not_recom,0
great_pret,very_crit,incomplete,2,convenient,problematic,recommended,spec_prior,0
pretentious,critical,complete,more,critical,problematic,not_recom,not_recom,1
usual,very_crit,completed,more,less_conv,slightly_prob,priority,spec_prior,1
usual,improper,incomplete,more,critical,slightly_prob,not_recom,not_recom,1
usual,very_crit,incomplete,3,critical,slightly_prob,not_recom,not_recom,1
great_pret,proper,incomplete,2,convenient,nonprob,recommended,priority,0
pretentious,less_proper,incomplete,1,convenient,slightly_prob,priority,priority,0
great_pret,improper,foster,3,convenient,problematic,priority,spec_prior,1
usual,improper,completed,3,convenient,nonprob,priority,priority,1
great_pret,less_proper,complete,more,critical,nonprob,priority,spec_prior,1
usual,very_crit,complete,more,convenient,problematic,priority,spec_prior,0
pretentious,proper,incomplete,more,less_conv,problematic,priority,priority,1
great_pret,very_crit,complete,more,convenient,problematic,not_recom,not_recom,1
great_pret,less_proper,complete,3,critical,problematic,priority,spec_prior,1
usual,critical,complete,3,less_conv,nonprob,recommended,priority,1
usual,critical,completed,more,critical,slightly_prob,priority,spec_prior,1
great_pret,less_proper,foster,3,less_conv,nonprob,recommended,priority,0
usual,critical,incomplete,3,critical,slightly_prob,recommended,priority,1
pretentious,very_crit,complete,1,convenient,problematic,priority,spec_prior,0
pretentious,improper,completed,3,critical,nonprob,priority,spec_prior,1
great_pret,less_proper,foster,2,critical,slightly_prob,recommended,priority,1
usual,very_crit,completed,2,convenient,slightly_prob,priority,spec_prior,0
great_pret,very_crit,complete,3,critical,slightly_prob,priority,spec_prior,1
great_pret,less_proper,foster,2,convenient,slightly_prob,priority,priority,1
usual,critical,complete,2,critical,slightly_prob,priority,spec_prior,1
pretentious,improper,incomplete,1,convenient,nonprob,priority,priority,1
usual,less_proper,complete,3,critical,problematic,recommended,priority,0
pretentious,improper,incomplete,1,convenient,slightly_prob,recommended,priority,0
great_pret,proper,foster,1,critical,nonprob,recommended,priority,1
usual,proper,foster,1,less_conv,problematic,not_recom,not_recom,0
usual,improper,foster,2,convenient,problematic,recommended,priority,0
usual,very_crit,complete,2,less_conv,problematic,priority,spec_prior,0
great_pret,proper,foster,1,less_conv,slightly_prob,recommended,priority,0
great_pret,proper,incomplete,3,critical,slightly_prob,recommended,priority,0
great_pret,proper,foster,more,critical,slightly_prob,recommended,priority,0
usual,improper,foster,more,critical,slightly_prob,not_recom,not_recom,1
usual,very_crit,completed,3,convenient,nonprob,not_recom,not_recom,1
usual,very_crit,completed,1,convenient,nonprob,recommended,priority,0
great_pret,proper,complete,2,critical,nonprob,not_recom,not_recom,0
usual,very_crit,complete,2,convenient,problematic,recommended,spec_prior,0
usual,improper,foster,more,less_conv,slightly_prob,recommended,priority,0
great_pret,improper,completed,3,critical,nonprob,recommended,spec_prior,1
pretentious,proper,complete,more,critical,slightly_prob,priority,priority,1
usual,improper,incomplete,1,critical,problematic,priority,priority,0
pretentious,proper,incomplete,1,less_conv,nonprob,recommended,very_recom,1
usual,proper,incomplete,1,convenient,slightly_prob,priority,priority,1
usual,improper,incomplete,2,critical,slightly_prob,not_recom,not_recom,1
great_pret,less_proper,complete,3,convenient,nonprob,not_recom,not_recom,1
pretentious,less_proper,completed,3,critical,problematic,not_recom,not_recom,0
pretentious,improper,foster,1,convenient,slightly_prob,not_recom,not_recom,1
great_pret,very_crit,complete,1,convenient,slightly_prob,not_recom,not_recom,0
great_pret,critical,completed,more,critical,nonprob,not_recom,not_recom,0
usual,proper,completed,more,critical,nonprob,priority,priority,0
pretentious,improper,complete,more,critical,nonprob,not_recom,not_recom,0
pretentious,proper,complete,2,less_conv,slightly_prob,not_recom,not_recom,0
great_pret,very_crit,complete,more,convenient,nonprob,not_recom,not_recom,1
great_pret,improper,complete,1,critical,nonprob,priority,spec_prior,1
pretentious,critical,foster,1,less_conv,slightly_prob,priority,spec_prior,0
pretentious,less_proper,foster,more,critical,nonprob,not_recom,not_recom,0
pretentious,less_proper,foster,1,convenient,nonprob,recommended,very_recom,1
pretentious,critical,foster,1,less_conv,slightly_prob,recommended,spec_prior,0
usual,critical,complete,more,critical,slightly_prob,priority,spec_prior,0
pretentious,proper,completed,1,less_conv,problematic,not_recom,not_recom,1
great_pret,very_crit,completed,3,less_conv,problematic,recommended,spec_prior,0
usual,critical,incomplete,1,critical,slightly_prob,recommended,priority,0
great_pret,less_proper,foster,2,critical,nonprob,not_recom,not_recom,1
usual,proper,foster,3,critical,problematic,not_recom,not_recom,1
pretentious,proper,foster,more,convenient,nonprob,not_recom,not_recom,0
great_pret,proper,foster,more,critical,slightly_prob,not_recom,not_recom,0
pretentious,improper,incomplete,1,less_conv,slightly_prob,not_recom,not_recom,1
pretentious,critical,incomplete,3,critical,slightly_prob,not_recom,not_recom,0
pretentious,critical,completed,3,less_conv,slightly_prob,recommended,spec_prior,1
great_pret,less_proper,incomplete,more,convenient,problematic,priority,spec_prior,0
great_pret,less_proper,completed,more,convenient,nonprob,not_recom,not_recom,0
usual,very_crit,foster,more,critical,problematic,priority,spec_prior,0
great_pret,very_crit,incomplete,3,convenient,slightly_prob,not_recom,not_recom,0
great_pret,improper,complete,3,less_conv,slightly_prob,priority,spec_prior,1
great_pret,less_proper,completed,2,less_conv,slightly_prob,priority,priority,1
pretentious,critical,foster,more,less_conv,problematic,recommended,spec_prior,1
great_pret,critical,incomplete,more,less_conv,nonprob,priority,spec_prior,0
usual,proper,foster,3,critical,slightly_prob,priority,priority,0
great_pret,improper,completed,2,less_conv,nonprob,not_recom,not_recom,0
pretentious,less_proper,completed,more,less_conv,nonprob,not_recom,not_recom,1
pretentious,very_crit,completed,3,less_conv,slightly_prob,recommended,spec_prior,0
great_pret,proper,incomplete,3,critical,slightly_prob,not_recom,not_recom,1
great_pret,improper,foster,3,convenient,problematic,priority,spec_prior,0
great_pret,very_crit,complete,1,convenient,problematic,not_recom,not_recom,0
pretentious,critical,complete,2,less_conv,slightly_prob,not_recom,not_recom,0
pretentious,improper,foster,2,convenient,problematic,priority,priority,1
pretentious,very_crit,complete,more,critical,slightly_prob,recommended,spec_prior,0
usual,improper,foster,1,critical,nonprob,not_recom,not_recom,0
usual,less_proper,incomplete,more,less_conv,nonprob,priority,priority,1
pretentious,proper,incomplete,1,critical,nonprob,recommended,priority,0
great_pret,improper,foster,1,critical,slightly_prob,priority,spec_prior,1
great_pret,critical,incomplete,more,convenient,problematic,priority,spec_prior,0
great_pret,very_crit,incomplete,2,critical,slightly_prob,not_recom,not_recom,0
pretentious,very_crit,incomplete,more,critical,problematic,not_recom,not_recom,0
great_pret,very_crit,foster,more,convenient,nonprob,recommended,priority,1
usual,proper,foster,1,convenient,nonprob,priority,priority,1
usual,critical,incomplete,3,convenient,problematic,recommended,spec_prior,0
great_pret,proper,complete,2,convenient,slightly_prob,priority,priority,0
usual,critical,complete,2,less_conv,problematic,recommended,priority,0
usual,critical,complete,more,critical,slightly_prob,priority,spec_prior,1
great_pret,critical,foster,3,convenient,problematic,recommended,spec_prior,1
great_pret,improper,incomplete,more,less_conv,slightly_prob,recommended,spec_prior,1
pretentious,critical,foster,2,less_conv,problematic,not_recom,not_recom,0
usual,improper,completed,2,convenient,nonprob,not_recom,not_recom,1
usual,less_proper,foster,2,critical,slightly_prob,recommended,priority,1
pretentious,critical,completed,1,convenient,slightly_prob,priority,spec_prior,1
great_pret,improper,incomplete,2,critical,problematic,not_recom,not_recom,1
great_pret,less_proper,complete,1,less_conv,nonprob,not_recom,not_recom,0
pretentious,critical,complete,3,critical,nonprob,recommended,spec_prior,0
great_pret,less_proper,foster,3,critical,slightly_prob,recommended,priority,0
great_pret,very_crit,foster,1,convenient,slightly_prob,priority,spec_prior,0
usual,proper,completed,1,less_conv,nonprob,priority,priority,0
pretentious,less_proper,complete,3,critical,nonprob,not_recom,not_recom,1
great_pret,critical,foster,3,convenient,slightly_prob,recommended,spec_prior,0
great_pret,critical,complete,3,less_conv,nonprob,priority,spec_prior,0
usual,proper,incomplete,3,critical,problematic,not_recom,not_recom,1
great_pret,very_crit,complete,1,critical,nonprob,recommended,priority,0
usual,proper,foster,more,less_conv,slightly_prob,not_recom,not_recom,0
usual,very_crit,complete,more,convenient,nonprob,not_recom,not_recom,0
usual,improper,complete,3,critical,problematic,priority,priority,1
usual,critical,complete,1,less_conv,nonprob,priority,priority,1
pretentious,improper,incomplete,3,less_conv,nonprob,priority,spec_prior,1
pretentious,critical,complete,1,less_conv,nonprob,priority,spec_prior,1
pretentious,less_proper,complete,3,convenient,nonprob,not_recom,not_recom,1
great_pret,less_proper,completed,1,convenient,slightly_prob,priority,priority,1
pretentious,critical,foster,3,less_conv,nonprob,not_recom,not_recom,1
great_pret,proper,incomplete,1,critical,slightly_prob,priority,spec_prior,0
pretentious,critical,complete,1,critical,problematic,priority,spec_prior,0
usual,proper,foster,2,critical,nonprob,recommended,priority,1
great_pret,less_proper,complete,1,critical,nonprob,priority,priority,0
pretentious,proper,completed,more,less_conv,problematic,not_recom,not_recom,0
usual,very_crit,incomplete,more,less_conv,problematic,priority,spec_prior,1
pretentious,very_crit,foster,2,critical,nonprob,priority,spec_prior,0
great_pret,very_crit,incomplete,more,convenient,nonprob,recommended,spec_prior,0
pretentious,proper,complete,more,critical,nonprob,priority,priority,0
great_pret,improper,foster,2,convenient,slightly_prob,not_recom,not_recom,0
great_pret,proper,completed,2,convenient,slightly_prob,priority,priority,0
great_pret,improper,completed,more,convenient,problematic,priority,spec_prior,1
usual,very_crit,incomplete,1,critical,nonprob,priority,spec_prior,0
pretentious,improper,completed,more,less_conv,nonprob,not_recom,not_recom,0
great_pret,critical,complete,more,critical,slightly_prob,priority,spec_prior,0
usual,very_crit,complete,more,convenient,nonprob,priority,spec_prior,1
pretentious,improper,completed,more,critical,slightly_prob,not_recom,not_recom,0
pretentious,critical,completed,2,less_conv,slightly_prob,priority,spec_prior,0
usual,critical,completed,3,less_conv,nonprob,recommended,priority,1
usual,very_crit,complete,more,critical,problematic,priority,spec_prior,0
